13101,6.4
13102,6.8
13103,15.4
13104,10
13105,13.2
13106,11.5
13107,5.2
13108,14.2
13109,7.2
13110,6.9
13111,20
13112,17
13113,1.3
13114,1.3
13115,4.2
13116,7
13117,7.1
13118,6.1
13119,3.9
13120,0.6
13121,8
13122,9.4
13123,3
13124,9.3
13125,9.2
13126,9.5
13127,10.7
13128,9
13129,5.6
13130,4.6
13131,9.6
13132,0.3
13201,14.6
13202,2.7
13203,10.6
13301,7.3
13302,8.5
13303,9.8
13401,17.9
13402,12.1
13403,13.4
13404,16.7
13501,19.5
13502,19.6
13503,7.4
13504,14
13505,26.1
13601,9.8
13602,9.6
13603,15.4
13604,13.2
13605,8.9
